algorithm,seed,K,beta,mode,episode,reward
DPO,0,200,0.1,stochastic,0,1.0
DPO,0,200,0.1,stochastic,1,1.0
DPO,0,200,0.1,stochastic,2,1.0
DPO,0,200,0.1,stochastic,3,1.0
DPO,0,200,0.1,stochastic,4,1.0
DPO,0,200,0.1,stochastic,5,1.0
DPO,0,200,0.1,stochastic,6,1.0
DPO,0,200,0.1,stochastic,7,1.0
DPO,0,200,0.1,stochastic,8,1.0
DPO,0,200,0.1,stochastic,9,1.0
DPO,0,200,0.1,stochastic,10,1.0
DPO,0,200,0.1,stochastic,11,1.0
DPO,0,200,0.1,stochastic,12,1.0
DPO,0,200,0.1,stochastic,13,1.0
DPO,0,200,0.1,stochastic,14,1.0
DPO,0,200,0.1,stochastic,15,1.0
DPO,0,200,0.1,stochastic,16,1.0
DPO,0,200,0.1,stochastic,17,1.0
DPO,0,200,0.1,stochastic,18,1.0
DPO,0,200,0.1,stochastic,19,1.0
DPO,0,200,0.1,stochastic,20,1.0
DPO,0,200,0.1,stochastic,21,1.0
DPO,0,200,0.1,stochastic,22,1.0
DPO,0,200,0.1,stochastic,23,1.0
DPO,0,200,0.1,stochastic,24,1.0
DPO,0,200,0.1,stochastic,25,1.0
DPO,0,200,0.1,stochastic,26,1.0
DPO,0,200,0.1,stochastic,27,1.0
DPO,0,200,0.1,stochastic,28,1.0
DPO,0,200,0.1,stochastic,29,1.0
DPO,0,200,0.1,stochastic,30,1.0
DPO,0,200,0.1,stochastic,31,1.0
DPO,0,200,0.1,stochastic,32,1.0
DPO,0,200,0.1,stochastic,33,1.0
DPO,0,200,0.1,stochastic,34,1.0
DPO,0,200,0.1,stochastic,35,1.0
DPO,0,200,0.1,stochastic,36,1.0
DPO,0,200,0.1,stochastic,37,1.0
DPO,0,200,0.1,stochastic,38,1.0
DPO,0,200,0.1,stochastic,39,1.0
DPO,0,200,0.1,stochastic,40,1.0
DPO,0,200,0.1,stochastic,41,1.0
DPO,0,200,0.1,stochastic,42,1.0
DPO,0,200,0.1,stochastic,43,1.0
DPO,0,200,0.1,stochastic,44,1.0
DPO,0,200,0.1,stochastic,45,1.0
DPO,0,200,0.1,stochastic,46,1.0
DPO,0,200,0.1,stochastic,47,1.0
DPO,0,200,0.1,stochastic,48,1.0
DPO,0,200,0.1,stochastic,49,1.0
DPO,0,200,0.1,stochastic,50,1.0
DPO,0,200,0.1,stochastic,51,1.0
DPO,0,200,0.1,stochastic,52,1.0
DPO,0,200,0.1,stochastic,53,1.0
DPO,0,200,0.1,stochastic,54,1.0
DPO,0,200,0.1,stochastic,55,1.0
DPO,0,200,0.1,stochastic,56,1.0
DPO,0,200,0.1,stochastic,57,1.0
DPO,0,200,0.1,stochastic,58,1.0
DPO,0,200,0.1,stochastic,59,1.0
DPO,0,200,0.1,stochastic,60,1.0
DPO,0,200,0.1,stochastic,61,1.0
DPO,0,200,0.1,stochastic,62,1.0
DPO,0,200,0.1,stochastic,63,1.0
DPO,0,200,0.1,stochastic,64,1.0
DPO,0,200,0.1,stochastic,65,1.0
DPO,0,200,0.1,stochastic,66,1.0
DPO,0,200,0.1,stochastic,67,1.0
DPO,0,200,0.1,stochastic,68,1.0
DPO,0,200,0.1,stochastic,69,1.0
DPO,0,200,0.1,stochastic,70,1.0
DPO,0,200,0.1,stochastic,71,1.0
DPO,0,200,0.1,stochastic,72,1.0
DPO,0,200,0.1,stochastic,73,1.0
DPO,0,200,0.1,stochastic,74,1.0
DPO,0,200,0.1,stochastic,75,1.0
DPO,0,200,0.1,stochastic,76,1.0
DPO,0,200,0.1,stochastic,77,1.0
DPO,0,200,0.1,stochastic,78,1.0
DPO,0,200,0.1,stochastic,79,1.0
DPO,0,200,0.1,stochastic,80,1.0
DPO,0,200,0.1,stochastic,81,1.0
DPO,0,200,0.1,stochastic,82,1.0
DPO,0,200,0.1,stochastic,83,1.0
DPO,0,200,0.1,stochastic,84,1.0
DPO,0,200,0.1,stochastic,85,1.0
DPO,0,200,0.1,stochastic,86,1.0
DPO,0,200,0.1,stochastic,87,1.0
DPO,0,200,0.1,stochastic,88,1.0
DPO,0,200,0.1,stochastic,89,1.0
DPO,0,200,0.1,stochastic,90,1.0
DPO,0,200,0.1,stochastic,91,1.0
DPO,0,200,0.1,stochastic,92,1.0
DPO,0,200,0.1,stochastic,93,1.0
DPO,0,200,0.1,stochastic,94,1.0
DPO,0,200,0.1,stochastic,95,1.0
DPO,0,200,0.1,stochastic,96,1.0
DPO,0,200,0.1,stochastic,97,1.0
DPO,0,200,0.1,stochastic,98,1.0
DPO,0,200,0.1,stochastic,99,1.0
DPO,0,200,0.1,stochastic,100,1.0
DPO,0,200,0.1,stochastic,101,1.0
DPO,0,200,0.1,stochastic,102,1.0
DPO,0,200,0.1,stochastic,103,1.0
DPO,0,200,0.1,stochastic,104,1.0
DPO,0,200,0.1,stochastic,105,1.0
DPO,0,200,0.1,stochastic,106,1.0
DPO,0,200,0.1,stochastic,107,1.0
DPO,0,200,0.1,stochastic,108,1.0
DPO,0,200,0.1,stochastic,109,1.0
DPO,0,200,0.1,stochastic,110,1.0
DPO,0,200,0.1,stochastic,111,1.0
DPO,0,200,0.1,stochastic,112,1.0
DPO,0,200,0.1,stochastic,113,1.0
DPO,0,200,0.1,stochastic,114,1.0
DPO,0,200,0.1,stochastic,115,1.0
DPO,0,200,0.1,stochastic,116,1.0
DPO,0,200,0.1,stochastic,117,1.0
DPO,0,200,0.1,stochastic,118,1.0
DPO,0,200,0.1,stochastic,119,1.0
DPO,0,200,0.1,stochastic,120,1.0
DPO,0,200,0.1,stochastic,121,1.0
DPO,0,200,0.1,stochastic,122,1.0
DPO,0,200,0.1,stochastic,123,1.0
DPO,0,200,0.1,stochastic,124,1.0
DPO,0,200,0.1,stochastic,125,1.0
DPO,0,200,0.1,stochastic,126,1.0
DPO,0,200,0.1,stochastic,127,1.0
DPO,0,200,0.1,stochastic,128,1.0
DPO,0,200,0.1,stochastic,129,1.0
DPO,0,200,0.1,stochastic,130,1.0
DPO,0,200,0.1,stochastic,131,1.0
DPO,0,200,0.1,stochastic,132,1.0
DPO,0,200,0.1,stochastic,133,1.0
DPO,0,200,0.1,stochastic,134,1.0
DPO,0,200,0.1,stochastic,135,1.0
DPO,0,200,0.1,stochastic,136,1.0
DPO,0,200,0.1,stochastic,137,1.0
DPO,0,200,0.1,stochastic,138,1.0
DPO,0,200,0.1,stochastic,139,1.0
DPO,0,200,0.1,stochastic,140,1.0
DPO,0,200,0.1,stochastic,141,1.0
DPO,0,200,0.1,stochastic,142,1.0
DPO,0,200,0.1,stochastic,143,1.0
DPO,0,200,0.1,stochastic,144,1.0
DPO,0,200,0.1,stochastic,145,1.0
DPO,0,200,0.1,stochastic,146,1.0
DPO,0,200,0.1,stochastic,147,1.0
DPO,0,200,0.1,stochastic,148,1.0
DPO,0,200,0.1,stochastic,149,1.0
DPO,0,200,0.1,stochastic,150,1.0
DPO,0,200,0.1,stochastic,151,1.0
DPO,0,200,0.1,stochastic,152,1.0
DPO,0,200,0.1,stochastic,153,1.0
DPO,0,200,0.1,stochastic,154,1.0
DPO,0,200,0.1,stochastic,155,1.0
DPO,0,200,0.1,stochastic,156,1.0
DPO,0,200,0.1,stochastic,157,1.0
DPO,0,200,0.1,stochastic,158,1.0
DPO,0,200,0.1,stochastic,159,1.0
DPO,0,200,0.1,stochastic,160,1.0
DPO,0,200,0.1,stochastic,161,1.0
DPO,0,200,0.1,stochastic,162,1.0
DPO,0,200,0.1,stochastic,163,1.0
DPO,0,200,0.1,stochastic,164,1.0
DPO,0,200,0.1,stochastic,165,1.0
DPO,0,200,0.1,stochastic,166,1.0
DPO,0,200,0.1,stochastic,167,1.0
DPO,0,200,0.1,stochastic,168,1.0
DPO,0,200,0.1,stochastic,169,1.0
DPO,0,200,0.1,stochastic,170,1.0
DPO,0,200,0.1,stochastic,171,1.0
DPO,0,200,0.1,stochastic,172,1.0
DPO,0,200,0.1,stochastic,173,1.0
DPO,0,200,0.1,stochastic,174,1.0
DPO,0,200,0.1,stochastic,175,1.0
DPO,0,200,0.1,stochastic,176,1.0
DPO,0,200,0.1,stochastic,177,1.0
DPO,0,200,0.1,stochastic,178,1.0
DPO,0,200,0.1,stochastic,179,1.0
DPO,0,200,0.1,stochastic,180,1.0
DPO,0,200,0.1,stochastic,181,1.0
DPO,0,200,0.1,stochastic,182,1.0
DPO,0,200,0.1,stochastic,183,1.0
DPO,0,200,0.1,stochastic,184,1.0
DPO,0,200,0.1,stochastic,185,1.0
DPO,0,200,0.1,stochastic,186,1.0
DPO,0,200,0.1,stochastic,187,1.0
DPO,0,200,0.1,stochastic,188,1.0
DPO,0,200,0.1,stochastic,189,1.0
DPO,0,200,0.1,stochastic,190,1.0
DPO,0,200,0.1,stochastic,191,1.0
DPO,0,200,0.1,stochastic,192,1.0
DPO,0,200,0.1,stochastic,193,1.0
DPO,0,200,0.1,stochastic,194,1.0
DPO,0,200,0.1,stochastic,195,1.0
DPO,0,200,0.1,stochastic,196,1.0
DPO,0,200,0.1,stochastic,197,1.0
DPO,0,200,0.1,stochastic,198,1.0
DPO,0,200,0.1,stochastic,199,1.0
DPO,0,200,0.1,stochastic,200,1.0
DPO,0,200,0.1,stochastic,201,1.0
DPO,0,200,0.1,stochastic,202,1.0
DPO,0,200,0.1,stochastic,203,1.0
DPO,0,200,0.1,stochastic,204,1.0
DPO,0,200,0.1,stochastic,205,1.0
DPO,0,200,0.1,stochastic,206,1.0
DPO,0,200,0.1,stochastic,207,1.0
DPO,0,200,0.1,stochastic,208,1.0
DPO,0,200,0.1,stochastic,209,1.0
DPO,0,200,0.1,stochastic,210,1.0
DPO,0,200,0.1,stochastic,211,1.0
DPO,0,200,0.1,stochastic,212,1.0
DPO,0,200,0.1,stochastic,213,1.0
DPO,0,200,0.1,stochastic,214,1.0
DPO,0,200,0.1,stochastic,215,1.0
DPO,0,200,0.1,stochastic,216,1.0
DPO,0,200,0.1,stochastic,217,1.0
DPO,0,200,0.1,stochastic,218,1.0
