algorithm,seed,K,beta,mode,mean_reward,std_reward,sem_reward,episodes
DPO,0,200,0.1,stochastic,1.0,0.0,0.0,300
DPO,0,200,0.5,stochastic,1.0,0.0,0.0,300
DPO,0,200,1.0,stochastic,1.0,0.0,0.0,300
DPO,0,200,2.0,stochastic,1.0,0.0,0.0,300
DPO,0,200,5.0,stochastic,0.99,0.09966499068325335,0.005754160919975786,300
DPO,0,200,10.0,stochastic,0.9966666666666667,0.05773502691896257,0.0033333333333333327,300
DPO,1,200,0.1,stochastic,1.0,0.0,0.0,300
DPO,1,200,0.5,stochastic,1.0,0.0,0.0,300
DPO,1,200,1.0,stochastic,1.0,0.0,0.0,300
DPO,1,200,2.0,stochastic,0.9966666666666667,0.05773502691896256,0.0033333333333333322,300
DPO,1,200,5.0,stochastic,0.9966666666666667,0.05773502691896256,0.0033333333333333322,300
DPO,1,200,10.0,stochastic,0.9966666666666667,0.05773502691896257,0.0033333333333333327,300
DPO,2,200,0.1,stochastic,1.0,0.0,0.0,300
DPO,2,200,0.5,stochastic,1.0,0.0,0.0,300
DPO,2,200,1.0,stochastic,1.0,0.0,0.0,300
DPO,2,200,2.0,stochastic,1.0,0.0,0.0,300
DPO,2,200,5.0,stochastic,0.9833333333333333,0.12823299585640946,0.007403535467669016,300
DPO,2,200,10.0,stochastic,0.9833333333333333,0.12823299585640946,0.007403535467669016,300
