experiment,seed,K,beta,epoch,dpo_eval_loss,preference_accuracy,dpo_margin,stochastic_return_mean,stochastic_return_sem
main,0,50,5.0,0,0.6931471824645996,0.0,0.0,0.9666666666666667,0.016455241616498053
main,0,50,5.0,10,0.010565893724560738,1.0,5.665168285369873,1.0,0.0
main,0,50,5.0,20,0.001625785487703979,1.0,7.999941825866699,0.9916666666666667,0.008333333333333333
main,0,50,5.0,30,0.0007420413312502205,1.0,8.963815689086914,1.0,0.0
main,0,50,5.0,40,0.0005281834746710956,1.0,9.373604774475098,1.0,0.0
main,0,50,5.0,50,0.0004511689185164869,1.0,9.557021141052246,1.0,0.0
main,0,50,5.0,60,0.00041473607416264713,1.0,9.649702072143555,1.0,0.0
main,0,50,5.0,70,0.00039232790004462004,1.0,9.707046508789062,1.0,0.0
main,0,50,5.0,80,0.000375119736418128,1.0,9.751176834106445,1.0,0.0
main,0,50,5.0,90,0.0003599940100684762,1.0,9.79068374633789,1.0,0.0
main,0,50,5.0,100,0.00034585504909045994,1.0,9.828776359558105,1.0,0.0
main,0,50,5.0,110,0.0003323364071547985,1.0,9.866589546203613,1.0,0.0
main,0,50,5.0,120,0.0003193311276845634,1.0,9.904450416564941,0.9833333333333333,0.011735491270876315
main,0,50,5.0,130,0.00030681866337545216,1.0,9.942401885986328,1.0,0.0
main,0,50,5.0,140,0.0002948027686215937,1.0,9.980391502380371,1.0,0.0
main,0,50,5.0,150,0.00028328897315077484,1.0,10.018332481384277,1.0,0.0
main,0,100,5.0,0,0.6931471824645996,0.0,0.0,0.975,0.01431195069769
main,0,100,5.0,10,0.008675915189087391,1.0,6.062892913818359,1.0,0.0
main,0,100,5.0,20,0.0014124723384156823,1.0,8.513631820678711,0.9833333333333333,0.011735491270876319
main,0,100,5.0,30,0.0006616917671635747,1.0,9.520145416259766,1.0,0.0
main,0,100,5.0,40,0.00047580746468156576,1.0,9.946024894714355,1.0,0.0
main,0,100,5.0,50,0.0004079437057953328,1.0,10.135215759277344,0.9916666666666667,0.008333333333333333
main,0,100,5.0,60,0.0003754331555683166,1.0,10.229646682739258,0.9916666666666667,0.008333333333333333
main,0,100,5.0,70,0.0003551996487658471,1.0,10.287179946899414,1.0,0.0
main,0,100,5.0,80,0.0003395380626898259,1.0,10.330878257751465,0.9916666666666667,0.008333333333333333
main,0,100,5.0,90,0.00032572433701716363,1.0,10.36968994140625,1.0,0.0
main,0,100,5.0,100,0.0003128004027530551,1.0,10.406965255737305,0.9916666666666667,0.008333333333333333
main,0,100,5.0,110,0.0003004467289429158,1.0,10.443893432617188,1.0,0.0
main,0,100,5.0,120,0.00028857309371232986,1.0,10.480819702148438,1.0,0.0
main,0,100,5.0,130,0.0002771618019323796,1.0,10.517802238464355,1.0,0.0
main,0,100,5.0,140,0.00026621323195286095,1.0,10.554794311523438,0.9916666666666667,0.008333333333333333
main,0,100,5.0,150,0.0002557329717092216,1.0,10.591718673706055,1.0,0.0
main,0,200,5.0,0,0.6931471824645996,0.0,0.0,0.9833333333333333,0.011735491270876319
main,0,200,5.0,10,0.015100114978849888,0.9950000047683716,5.756490230560303,1.0,0.0
main,0,200,5.0,20,0.002060250611975789,1.0,7.743234157562256,0.9916666666666667,0.008333333333333333
main,0,200,5.0,30,0.0010091590229421854,1.0,8.565633773803711,1.0,0.0
main,0,200,5.0,40,0.0007287338376045227,1.0,8.93238353729248,1.0,0.0
main,0,200,5.0,50,0.0006090084207244217,1.0,9.112811088562012,1.0,0.0
main,0,200,5.0,60,0.0005419781082309783,1.0,9.217041969299316,1.0,0.0
main,0,200,5.0,70,0.0004968291614204645,1.0,9.289891242980957,1.0,0.0
main,0,200,5.0,80,0.000462353287730366,1.0,9.34939956665039,1.0,0.0
main,0,200,5.0,90,0.0004338915168773383,1.0,9.40278434753418,0.9916666666666667,0.008333333333333333
main,0,200,5.0,100,0.00040930407703854144,1.0,9.452954292297363,1.0,0.0
main,0,200,5.0,110,0.0003874947433359921,1.0,9.501119613647461,1.0,0.0
main,0,200,5.0,120,0.0003678390639834106,1.0,9.547805786132812,0.975,0.014311950697689996
main,0,200,5.0,130,0.00034993395092897117,1.0,9.593276977539062,1.0,0.0
main,0,200,5.0,140,0.0003335030924063176,1.0,9.637664794921875,1.0,0.0
main,0,200,5.0,150,0.000318335514748469,1.0,9.681069374084473,0.9916666666666667,0.008333333333333333
main,0,500,5.0,0,0.6931472420692444,0.0,0.0,0.9833333333333333,0.011735491270876315
main,0,500,5.0,10,0.010696609504520893,1.0,6.5366902351379395,1.0,0.0
main,0,500,5.0,20,0.002098150085657835,1.0,9.012292861938477,1.0,0.0
main,0,500,5.0,30,0.001022649696096778,1.0,10.01421070098877,1.0,0.0
