algorithm,seed,K,mode,mean_reward,std_reward,sem_reward,episodes
P1 expert,0,50,stochastic,0.9966666666666667,0.05773502691896256,0.0033333333333333322,300
P2 weak,0,50,stochastic,0.7666666666666667,0.4236592728681617,0.024459979523511425,300
P1 expert,0,100,stochastic,1.0,0.0,0.0,300
P2 weak,0,100,stochastic,0.7266666666666667,0.4464151773751184,0.02577379228278591,300
P1 expert,0,200,stochastic,0.9933333333333333,0.08151300584956361,0.004706155586970109,300
P2 weak,0,200,stochastic,0.7633333333333333,0.4257461153528187,0.02458046343053873,300
P1 expert,0,500,stochastic,0.9866666666666667,0.11488931224930929,0.006633137535414968,300
P2 weak,0,500,stochastic,0.77,0.42153565411754634,0.024337372337779033,300
DPO,0,50,stochastic,0.9933333333333333,0.0815130058495636,0.004706155586970108,300
PPO/RLHF,0,50,stochastic,0.016666666666666666,0.12823299585640946,0.007403535467669016,300
DPO,0,100,stochastic,0.9966666666666667,0.05773502691896257,0.0033333333333333327,300
PPO/RLHF,0,100,stochastic,0.08333333333333333,0.27684719634237037,0.01598378033326607,300
DPO,0,200,stochastic,0.9933333333333333,0.08151300584956361,0.004706155586970109,300
PPO/RLHF,0,200,stochastic,0.02,0.14023391829177734,0.008096409047527363,300
DPO,0,500,stochastic,0.9966666666666667,0.05773502691896257,0.0033333333333333327,300
PPO/RLHF,0,500,stochastic,0.03,0.17087224588772665,0.00986531371603149,300
P1 expert,1,50,stochastic,0.9866666666666667,0.11488931224930929,0.006633137535414968,300
P2 weak,1,50,stochastic,0.7733333333333333,0.4193747004212345,0.024212609617951835,300
P1 expert,1,100,stochastic,0.9933333333333333,0.08151300584956361,0.004706155586970109,300
P2 weak,1,100,stochastic,0.7366666666666667,0.44117760727332966,0.025471401031969185,300
P1 expert,1,200,stochastic,0.99,0.09966499068325335,0.005754160919975786,300
P2 weak,1,200,stochastic,0.8066666666666666,0.39557192271742875,0.02283835560647653,300
P1 expert,1,500,stochastic,0.9933333333333333,0.08151300584956361,0.004706155586970109,300
P2 weak,1,500,stochastic,0.7466666666666667,0.43564685564303235,0.025152082937711873,300
DPO,1,50,stochastic,0.9966666666666667,0.05773502691896257,0.0033333333333333327,300
PPO/RLHF,1,50,stochastic,0.013333333333333334,0.1148893122493093,0.006633137535414969,300
DPO,1,100,stochastic,0.9933333333333333,0.08151300584956361,0.004706155586970109,300
PPO/RLHF,1,100,stochastic,0.12666666666666668,0.33315491323044827,0.01923470788354457,300
DPO,1,200,stochastic,1.0,0.0,0.0,300
PPO/RLHF,1,200,stochastic,0.03333333333333333,0.17980541941701306,0.010381070730216603,300
DPO,1,500,stochastic,0.9966666666666667,0.05773502691896257,0.0033333333333333327,300
PPO/RLHF,1,500,stochastic,0.09,0.28665992577177274,0.01655031853102111,300
P1 expert,2,50,stochastic,0.9933333333333333,0.0815130058495636,0.004706155586970108,300
P2 weak,2,50,stochastic,0.7466666666666667,0.43564685564303235,0.025152082937711873,300
P1 expert,2,100,stochastic,0.9933333333333333,0.08151300584956361,0.004706155586970109,300
P2 weak,2,100,stochastic,0.7866666666666666,0.41034558674051025,0.02369131349654085,300
P1 expert,2,200,stochastic,0.99,0.09966499068325335,0.005754160919975786,300
P2 weak,2,200,stochastic,0.8033333333333333,0.3981422858999376,0.02298675559401019,300
P1 expert,2,500,stochastic,0.9866666666666667,0.11488931224930929,0.006633137535414968,300
P2 weak,2,500,stochastic,0.7766666666666666,0.4171758315991676,0.024085657867318536,300
DPO,2,50,stochastic,1.0,0.0,0.0,300
PPO/RLHF,2,50,stochastic,0.06,0.2378836454288983,0.013734218672418391,300
DPO,2,100,stochastic,0.9966666666666667,0.05773502691896257,0.0033333333333333327,300
PPO/RLHF,2,100,stochastic,0.06,0.23788364542889828,0.01373421867241839,300
DPO,2,200,stochastic,0.9933333333333333,0.0815130058495636,0.004706155586970108,300
PPO/RLHF,2,200,stochastic,0.08666666666666667,0.2818160567729817,0.016270657623983983,300
DPO,2,500,stochastic,0.9866666666666667,0.1148893122493093,0.006633137535414969,300
PPO/RLHF,2,500,stochastic,0.03333333333333333,0.17980541941701306,0.010381070730216603,300
